Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Flood?
32.8,20.3,23.0,83.0,0.3,2.2,0.0
29.6,12.3,25.0,76.0,0.3,0.6,0.0
28.3,11.1,9.0,75.0,0.4,0.6,0.0
31.4,13.5,36.0,74.0,0.7,1.4,0.0
34.9,21.3,0.0,75.0,1.3,1.9,0.0
34.7,23.7,307.0,83.0,2.3,5.0,1.0
33.7,24.4,157.0,84.0,1.7,5.1,1.0
34.4,25.6,557.0,89.0,1.7,6.2,1.0
33.2,26.0,299.0,90.0,1.4,6.3,1.0
33.4,26.1,138.0,88.0,1.3,6.2,1.0
34.7,25.9,237.0,87.0,0.8,4.9,1.0
33.3,23.0,69.0,84.0,0.3,3.1,0.0
31.7,19.9,53.0,82.0,0.2,2.8,0.0
29.4,13.7,0.0,77.0,0.2,1.0,0.0
27.8,10.7,0.0,72.0,0.3,0.4,0.0
31.4,14.2,0.0,68.0,0.3,1.1,0.0
36.9,18.5,14.0,65.0,0.5,1.7,0.0
35.0,22.2,242.0,78.0,1.1,3.3,1.0
35.6,24.1,387.0,82.0,1.6,5.0,1.0
33.3,25.8,631.0,87.0,1.6,5.9,1.0
33.9,25.6,409.0,87.0,1.3,5.8,1.0
34.4,25.8,403.0,87.0,1.5,6.0,1.0
33.3,25.1,300.0,89.0,0.8,5.3,1.0
35.1,24.5,127.0,83.0,0.4,3.5,0.0
32.9,19.4,3.0,78.0,0.4,1.3,0.0
30.3,12.5,0.0,76.0,0.3,0.6,0.0
30.6,12.0,1.0,75.0,0.3,0.6,0.0
32.2,13.7,14.0,70.0,0.5,1.2,0.0
35.6,19.2,30.0,66.0,1.2,1.9,0.0
37.5,24.1,38.0,75.0,1.1,2.2,0.0
37.2,26.1,67.0,77.0,1.6,2.9,0.0
37.3,26.1,453.0,87.0,1.8,5.5,1.0
34.4,26.0,559.0,88.0,1.6,5.6,1.0
34.4,25.9,642.0,90.0,1.5,6.1,1.0
